PLAN1 PLAN2 PLAN3 PIX1 PIX2 PIX3
2.05 2.13 2.10 1.79 1.77 1.81
1.72 1.28 1.83 1.53 1.55 1.54
1.93 1.79 1.65 1.57 1.57 1.56
2.16 1.96 2.01 1.65 1.70 1.60
2.27 1.95 1.78 2.05 2.12 2.10
2.53 2.17 2.40 2.03 1.98 2.16
1.79 1.67 1.80 1.63 1.65 1.67
1.87 1.48 1.90 1.51 1.49 1.50
1.57 1.57 1.60 1.69 1.79 1.62
1.39 1.39 1.43 1.50 1.55 1.53
1.89 1.84 1.75 1.74 1.72 1.81
2.39 2.26 2.18 1.95 1.89 1.93
1.67 1.72 1.71 1.74 1.77 1.78
1.57 1.39 1.45 1.67 1.69 1.69
2.30 2.25 2.18 1.91 1.74 1.81
2.03 1.93 2.08 2.03 1.99 2.00
1.19 1.70 1.61 0.88 0.96 1.00
1.13 0.41 0.75 1.25 1.28 1.27
1.63 1.22 1.71 1.79 1.77 1.81
1.93 2.03 1.95 1.84 1.89 1.78
1.89 1.50 1.82 1.22 1.22 1.24
1.63 2.03 1.71 1.90 1.99 1.91
1.70 1.96 2.01 2.11 2.15 2.07
2.82 2.84 2.87 2.19 2.03 2.01
0.53 0.99 1.01 1.10 1.19 1.21
