S 1247  105
N 1668  17 
S 1466  5  
N 1800  14 
N 1609  18 
N 1558  10 
N 1807  15 
S 1299  78 
N 1637  10 
S 1359  84 
S 1392  73 
S 1755  12 
N 1519  21 
S 1307  78 
S 1254  96 
N 1491  20 
N 1555  39 
N 1428  39 
S 1318  122
S 1260  21 
N 1723  44 
N 1379  94 
N 1742  8  
N 1574  9  
N 1569  91 
S 1096  138
N 1591  16 
S 1402  37 
N 1772  15 
S 1828  8  
S 1704  26 
S 1702  44 
N 1581  14 
N 1309  59 
S 1259  133
S 1427  27 
S 1724  6  
N 1175  107
S 1486  5  
N 1456  90 
N 1696  6  
N 1236  101
N 1711  13 
N 1444  14 
S 1591  49 
S 1987  8  
N 1495  14 
N 1369  68 
N 1257  50 
N 1587  75 
N 1713  71 
S 1557  13 
N 1640  57 
S 1709  71 
S 1625  13 
S 1625  20 
N 1527  60 
N 1627  53 
N 1486  122
S 1485  81 
N 1378  71 
