Name,Campus,enroll,V_crime,Murder,Rape,Robbery,assault,crime,Burglary,theft,Motor_theft,Arson
Allan Hancock College,,17070,0,0,0,0,0,9,0,9,0,0
California State Polytechnic University:,Pomona,28093,8,0,2,1,5,165,24,130,11,0
,San Luis Obispo,23630,4,0,3,0,1,122,15,105,2,0
California State University:,Bakersfield,12128,2,0,1,0,1,67,14,52,1,0
,Channel Islands,8336,4,0,3,1,0,64,0,62,2,0
,Chico,19754,6,0,3,1,2,127,2,119,6,1
,Dominguez Hills,17926,6,0,2,3,1,21,4,17,0,0
,East Bay,19613,4,0,3,0,1,96,15,78,3,0
,Fresno,27251,11,0,3,2,6,162,17,129,16,4
,Fullerton,47158,6,1,3,0,2,204,8,194,2,0
,Long Beach,41221,4,0,0,2,2,125,0,111,14,0
,Los Angeles,30038,4,0,1,1,2,99,4,89,6,0
,Monterey Bay,8502,9,0,2,1,6,48,6,41,1,0
,Northridge,44639,8,0,3,2,3,220,2,214,4,0
,Sacramento,35173,3,0,0,1,2,162,13,145,4,0
,San Bernardino,22286,4,0,2,1,1,69,4,57,8,0
,San Jose,39002,23,0,8,4,11,287,22,255,10,3
,San Marcos,17042,1,0,0,1,0,21,1,20,0,0
,Stanislaus,11767,1,0,1,0,0,44,0,38,6,0
Chaffey College,,29808,3,0,0,1,2,35,3,28,4,0
College of the Sequoias,,15686,0,0,0,0,0,40,5,30,5,0
Contra Costa Community College,,53483,1,0,0,1,0,111,14,94,3,0
Cuesta College,,15212,0,0,0,0,0,7,0,7,0,0
El Camino College,,33616,3,0,0,2,1,60,2,57,1,1
Foothill-De Anza College,,61553,2,0,1,1,0,28,4,24,0,0
Humboldt State University,,9262,5,0,1,1,3,120,15,103,2,1
Irvine Valley College,,20065,0,0,0,0,0,11,2,9,0,0
Marin Community College,,8140,3,0,0,0,3,17,0,17,0,0
Mt. San Jacinto College,,20992,2,0,0,1,1,22,3,13,6,0
Pasadena Community College,,37252,0,0,0,0,0,74,4,64,6,0
Riverside Community College,,60699,2,0,0,2,0,39,3,32,4,1
San Bernardino Community College,,28807,1,0,1,0,0,40,1,34,5,0
San Diego State University,,37748,20,0,7,4,9,441,38,389,14,5
San Francisco State University,,33506,14,0,5,7,2,196,22,168,6,0
San Jose/Evergreen Community College,,28801,0,0,0,0,0,27,8,18,1,0
Sonoma County Junior College,,30597,2,0,1,0,1,55,2,53,0,0
Sonoma State University,,10468,12,0,10,0,2,68,26,42,0,0
State Center Community College District,,63592,0,0,0,0,0,136,11,120,5,2
University of California:,Berkeley,44235,70,1,13,22,34,763,56,646,61,0
,Davis,39783,14,0,6,2,6,906,86,794,26,2
,Irvine,37170,21,0,7,1,13,464,19,437,8,3
,Los Angeles,46592,89,0,23,8,58,756,132,608,16,2
,"Medical Center, Sacramento3",,7,0,1,1,5,141,3,131,7,1
,Merced,8388,6,0,4,0,2,89,8,77,4,0
,Riverside,24907,11,0,5,3,3,305,32,267,6,0
,San Diego,37744,10,0,2,0,8,502,24,419,59,1
,San Francisco,3201,11,0,1,7,3,371,15,351,5,2
,Santa Barbara,26561,61,0,37,2,22,341,17,320,4,0
,Santa Cruz,20592,15,0,8,0,7,184,20,162,2,1
Ventura County Community College District,,50436,2,0,0,1,1,52,15,35,2,1
West Valley-Mission College,,24612,1,0,0,1,0,26,4,22,0,0
