Name,Campus,enroll,V_crime,Murder,Rape,Robbery,assault,crime,Burglary,theft,Motor_theft,Arson
Abilene Christian University,,5709,1,0,1,0,0,88,13,70,5,0
Alamo Colleges District,,109114,3,0,0,1,2,131,9,111,11,7
Angelo State University,,11820,1,0,1,0,0,32,0,31,1,0
Austin Community College District,,62493,1,0,1,0,0,117,6,80,31,1
Baylor Health Care System3,,,8,0,1,5,2,403,10,361,32,0
Baylor University,Waco,18261,4,0,2,0,2,144,13,129,2,1
El Paso Community College,,38006,1,0,1,0,0,16,1,15,0,0
Hardin-Simmons University,,2483,0,0,0,0,0,17,8,9,0,0
Houston Community College,,82166,4,0,0,3,1,134,7,118,9,1
Lamar University,Beaumont,19508,2,0,0,0,2,51,1,49,1,0
Lubbock Christian University,,2217,0,0,0,0,0,4,2,2,0,0
Prairie View A&M University,,9945,18,0,11,3,4,106,18,76,12,0
Rice University,,7362,3,0,1,1,1,180,2,170,8,0
Southern Methodist University,,13062,10,0,4,3,3,158,11,139,8,0
Southwestern University4,,1430,0,0,0,0,0,14,2,12,0,0
Stephen F. Austin State University,,14561,8,0,4,0,4,34,3,31,0,0
St. Mary's University,,3926,4,0,2,0,2,32,2,29,1,0
St. Thomas University,,3727,0,0,0,0,0,35,3,32,0,0
Sul Ross State University,,3672,0,0,0,0,0,6,5,1,0,0
Tarleton State University4,,14950,6,0,6,0,0,48,3,45,0,1
Texas A&M International University,,8818,1,0,1,0,0,17,2,15,0,0
Texas A&M University:,Central Texas,3319,0,0,0,0,0,1,0,0,1,0
,College Station4,72775,11,0,5,3,3,413,33,351,29,0
,Commerce,15596,4,0,3,0,1,74,6,68,0,0
,Corpus Christi,14307,2,0,0,0,2,76,8,67,1,0
,Galveston3,,0,0,0,0,0,14,0,14,0,0
,San Antonio,7534,0,0,0,0,0,11,0,11,0,0
Texas Christian University,,11044,2,0,0,1,1,76,7,64,5,0
Texas Southern University,,11485,15,0,5,4,6,95,14,71,10,0
Texas State Technical College:,Harlingen3,,1,0,1,0,0,3,0,3,0,0
,"Waco3, 4",,6,1,3,2,0,50,12,35,3,0
Texas State University,San Marcos4,42924,14,0,8,3,3,147,16,129,2,1
Texas Tech University,Lubbock,39987,7,0,3,0,4,245,7,236,2,0
Texas Woman's University,,18773,0,0,0,0,0,43,2,41,0,0
Trinity Valley Community College,,9678,1,0,0,0,1,6,4,2,0,0
University of Houston,Central Campus4,51371,23,0,9,9,5,464,50,393,21,0
University of North Texas,Denton,43730,7,0,6,0,1,161,12,148,1,0
University of Texas:,Arlington,60075,16,0,7,6,3,129,11,112,6,0
,Austin4,55097,8,0,1,1,6,449,17,429,3,0
,Dallas4,30572,6,0,4,0,2,124,7,115,2,0
,El Paso,29598,5,0,1,0,4,84,14,68,2,1
,"Health Science Center, San Antonio",3960,0,0,0,0,0,21,1,19,1,0
,"Health Science Center, Tyler",59,1,0,0,0,1,7,0,7,0,0
,Houston,6948,8,0,5,3,0,293,9,279,5,0
,Medical Branch,4189,6,0,1,0,5,74,0,66,8,1
,Permian Basin,9651,0,0,0,0,0,30,14,15,1,0
,Rio Grande Valley,33012,2,0,2,0,0,64,3,61,0,0
,San Antonio,34473,10,0,4,0,6,102,3,95,4,0
,Southwestern Medical School,2506,1,0,0,0,1,228,5,219,4,0
West Texas A&M University,,11753,2,0,1,0,1,33,3,28,2,0
