"State","Rate"
"California","9.6"
"Minnesota","13.9"
"Wisconsin","14.5"
"Massachusetts","14.7"
"Connecticut","16.4"
"Pennsylvania","17.6"
"Colorado","17.6"
"Idaho","18.2"
"Illinois","20.0"
"Utah","20.1"
"Michigan","20.5"
"Hawaii","20.7"
"Iowa","20.8"
"Oregon","21.2"
"New York","22.0"
"Washington","22.2"
"Maryland","23.7"
"West Virginia","24.7"
"Kansas","24.9"
"New Jersey","25.4"
"Nebraska","25.8"
"Ohio","27.2"
"Nevada","27.3"
"Missouri","28.9"
"South Dakota","29.6"
"Florida","29.9"
"Montana","30.2"
"Oklahoma","30.3"
"Texas","31.4"
"North Carolina","31.7"
"North Dakota","32.7"
"Indiana","33.4"
"Virginia","33.7"
"Arizona","34.6"
"South Carolina","35.3"
"Georgia","35.9"
"New Mexico","36.2"
"Kentucky","37.6"
"Arkansas","42.7"
"Alabama","43.0"
"Louisiana","43.8"
"Tennessee","46.9"
"Mississippi","50.3"
