STATE,TOTAL,4-YEAR_PUB,4-YEAR_PRIV,UNDERGRAD,GRAD
Alabama,292181,175646,24513,239385,52796
Alaska,22106,21068,533,20067,2039
Arizona,600103,205719,11734,491232,108871
Arkansas,149294,93227,14874,128686,20608
California,2579991,996317,319685,2269817,310174
Colorado,362267,250461,33014,297093,65174
Connecticut,186717,64176,69755,149961,36756
Delaware,58678,41307,16870,47788,10890
District of Columbia,97481,3946,81484,52272,45209
Florida,1027331,743644,180808,895867,131464
Georgia,547389,331210,78141,459119,88270
Hawaii,59693,27294,9778,53272,6421
Idaho,122997,57803,47882,114341,8656
Illinois,681988,182587,208007,525138,156850
Indiana,410949,259251,84769,339430,71519
Iowa,208220,71647,49654,180193,28027
Kansas,193119,96467,20883,164547,28572
Kentucky,261413,121433,61324,204205,57208
Louisiana,243507,151982,28203,205077,38430
Maine,69838,30621,22729,60220,9618
Maryland,348054,179322,56213,275809,72245
Massachusetts,473731,120561,280733,330289,143442
Michigan,490081,298945,63667,414829,75252
Minnesota,395705,125436,68877,282332,113373
Mississippi,163054,76492,18420,139431,23623
Missouri,342618,137507,125771,268579,74039
Montana,45461,35204,3184,39589,5872
Nebraska,135026,59358,37646,109090,25936
Nevada,116660,106634,3903,104378,12282
New Hampshire,188545,25087,153201,154514,34031
New Jersey,392343,188515,73503,327565,64778
New Mexico,110095,52440,1423,95925,14170
New York,1183457,399353,496051,939083,244374
North Carolina,557673,242960,93354,479932,77741
North Dakota,51308,37790,6089,43100,8208
Ohio,654555,374844,124988,569581,84974
Oklahoma,189214,112646,21373,162764,26450
Oregon,203759,99983,27240,175226,28533
Pennsylvania,667515,264633,280062,522501,145014
Rhode Island,77087,24721,38682,65628,11459
South Carolina,235009,127301,36347,205606,29403
South Dakota,50849,35253,6880,43798,7051
Tennessee,316270,138647,81688,264383,51887
Texas,1601399,1032697,140530,1400605,200794
United States,18977305,9150089,4068767,15837413,3139892
Utah,395572,161729,198223,333245,62327
Vermont,39646,19022,15500,33640,6006
Virginia,555755,224148,148644,440302,115453
Washington,334059,265619,39464,295215,38844
West Virginia,137742,62248,7786,115040,22702
Wisconsin,318858,177766,54685,279268,39590
Wyoming,30943,17422,0,28456,2487
