Name,win,sugar,price,chocolate,fruity,caramel,nuts,nougat,ricewafer,hard,bar,pluribus 
100 Grand,66.972,0.732,0.86,1,0,1,0,0,1,0,1,0
3 Musketeers,67.603,0.604,0.511,1,0,0,0,1,0,0,1,0
One dime,32.261,0.011,0.116,0,0,0,0,0,0,0,0,0
One quarter,46.117,0.011,0.511,0,0,0,0,0,0,0,0,0
Air Heads,52.341,0.906,0.511,0,1,0,0,0,0,0,0,0
Almond Joy,50.348,0.465,0.767,1,0,0,1,0,0,0,1,0
Baby Ruth,56.915,0.604,0.767,1,0,1,1,1,0,0,1,0
Boston Baked Beans,23.418,0.313,0.511,0,0,0,1,0,0,0,0,1
Candy Corn,38.011,0.906,0.325,0,0,0,0,0,0,0,0,1
Caramel Apple Pops,34.518,0.604,0.325,0,1,1,0,0,0,0,0,0
Charleston Chew,38.975,0.604,0.511,1,0,0,0,1,0,0,1,0
Chewey Lemonhead Fruit Mix,36.018,0.732,0.511,0,1,0,0,0,0,0,0,1
Chiclets,24.525,0.046,0.325,0,1,0,0,0,0,0,0,1
Dots,42.272,0.732,0.511,0,1,0,0,0,0,0,0,1
Dum Dums,39.461,0.732,0.034,0,1,0,0,0,0,1,0,0
Fruit Chews,43.089,0.127,0.034,0,1,0,0,0,0,0,0,1
Fun Dip,39.186,0.732,0.325,0,1,0,0,0,0,1,0,0
Gobstopper,46.783,0.906,0.453,0,1,0,0,0,0,1,0,1
Haribo Gold Bears,57.12,0.465,0.465,0,1,0,0,0,0,0,0,1
Haribo Happy Cola,34.159,0.465,0.465,0,0,0,0,0,0,0,0,1
Haribo Sour Bears,51.412,0.465,0.465,0,1,0,0,0,0,0,0,1
Haribo Twin Snakes,42.179,0.465,0.465,0,1,0,0,0,0,0,0,1
HersheyÕs Kisses,55.375,0.127,0.093,1,0,0,0,0,0,0,0,1
HersheyÕs Krackel,62.284,0.43,0.918,1,0,0,0,0,1,0,1,0
HersheyÕs Milk Chocolate,56.491,0.43,0.918,1,0,0,0,0,0,0,1,0
HersheyÕs Special Dark,59.236,0.43,0.918,1,0,0,0,0,0,0,1,0
Jawbusters,28.127,0.093,0.511,0,1,0,0,0,0,1,0,1
Junior Mints,57.219,0.197,0.511,1,0,0,0,0,0,0,0,1
Kit Kat,76.769,0.313,0.511,1,0,0,0,0,1,0,1,0
