Year,WinningTime
1875,0:02:38
1876,0:02:37
1877,0:02:38
1878,0:02:37
1879,0:02:37
1880,0:02:41
1881,0:02:42
1882,0:02:39
1883,0:02:40
1884,0:02:38
1885,0:02:37
1886,0:02:37
1887,0:02:38
1888,0:02:38
1889,0:02:38
1890,0:02:35
1891,0:02:45
1892,0:02:31
1893,0:02:07
1894,0:02:09
1895,0:02:09
1896,0:02:08
1897,0:02:09
1898,0:02:09
1899,0:02:11
1900,0:02:06
1901,0:02:06
1902,0:02:09
1903,0:02:09
1904,0:02:08
1905,0:02:11
1906,0:02:10
1907,0:02:08
1908,0:02:10
1909,0:02:10
1910,0:02:08
1911,0:02:05
1912,0:02:08
1913,0:02:04
1914,0:02:03
1915,0:02:04
1916,0:02:05
1917,0:02:10
1918,0:02:03
1919,0:02:04
1920,0:02:04
1921,0:02:02
1922,0:02:05
1923,0:02:04
1924,0:02:05
1925,0:02:08
1926,0:02:08
1927,0:02:02
1928,0:02:05
1929,0:02:10
1930,0:02:08
1931,0:02:04
1932,0:02:05
1933,0:02:07
1934,0:02:04
1935,0:02:03
1936,0:02:04
1937,0:02:03
1938,0:02:05
1939,0:02:03
1940,0:02:05
1941,0:02:04
1942,0:02:04
1943,0:02:05
1944,0:02:05
1945,0:02:07
1946,0:02:01
1947,0:02:04
1948,0:02:05
1949,0:02:05
1950,0:02:06
1951,0:02:02
1952,0:02:02
1953,0:02:01
1954,0:02:02
1955,0:02:02
1956,0:02:02
1957,0:02:02
1958,0:02:05
1959,0:02:00
1960,0:02:00
1961,0:02:02
1962,0:02:00
1963,0:02:02
1964,0:02:00
1965,0:02:03
1966,0:02:02
1967,0:02:00
1968,0:02:02
1969,0:02:02
1970,0:02:01
1971,0:02:02
1972,0:01:59
1973,0:01:59
1974,0:01:59
1975,0:02:00
1976,0:02:02
1977,0:02:02
1978,0:02:01
1979,0:02:02
1980,0:02:02
1981,0:02:01
1982,0:02:01
1983,0:02:02
1984,0:02:02
1985,0:02:01
1986,0:02:02
1987,0:02:02
1988,0:02:02
1989,0:02:03
1990,0:02:02
1991,0:02:03
1992,0:02:03
1993,0:02:01
1994,0:02:04
1995,0:02:03
1996,0:02:01
1997,0:02:02
1998,0:02:01
1999,0:02:01
2000,0:02:01
2001,0:02:00
2002,0:02:01
2003,0:02:01
2004,0:02:04
2005,0:02:03
2006,0:02:01
2007,0:02:02
2008,0:02:02
2009,0:02:03
2010,0:02:04
2011,0:02:02
2012,0:02:02
2013,0:02:03
2014,0:02:04
2015,0:02:03
2016,0:02:01
2017,0:02:04
2018,0:02:04
2019,0:02:04
2020,0:02:01
2021,0:02:01
