Year,Time 
1972,3:08:41
1973,2:57:08
1974,3:07:29
1975,2:46:14
1976,2:39:11
1977,2:43:10
1978,2:32:30
1979,2:27:33
1980,2:25:41
1981,2:27:19
1982,2:32:00
1983,2:27:13
1984,2:29:34
1985,2:28:34
1986,2:28:06
1987,2:25:53
1988,2:28:07
1989,2:27:35
1990,2:30:45
1991,2:26:14
1992,2:26:24
1993,2:28:12
1994,2:27:37
1995,2:28:06
1996,2:28:18
1997,2:28:12
1998,2:25:45
1999,2:25:45
2000,2:25:45
2001,2:24:40
2002,2:26:33
2003,2:22:31
2004,2:23:10
2005,2:24:41
2006,2:25:43
2007,2:23:09
2008,2:23:56
2009,2:28:52
2010,2:28:20
2011,2:23:15
2012,.
2013,2:25:07
2014,2:25:07
2015,2:24:25
2016,2:24:26
2017,2:26:53
2018,2:22:48
2019,2:22:38
2020,.
},
