State,percent,
,,
,,
,,
West Virginia,20,
Kentucky,18,
Arkansas,18,
Mississippi,18,
Tennessee,17,
Louisiana,17,
Guam,17,
Ohio,16,
Indiana,16,
Missouri,16,
Michigan,16,
Wyoming,15,
Oklahoma,15,
Alaska,15,
Alabama,15,
Nevada,14,
South Carolina,14,
Iowa,14,
Kansas,14,
Maine,13,
New Mexico,13,
North Dakota,13,
Pennsylvania,13,
Georgia,13,
Idaho,13,
Montana,13,
North Carolina,13,
South Dakota,13,
Vermont,13,
Texas,12,
Nebraska,12,
United States,12,
Arizona,12,
Minnesota,12,
New York,12,
Delaware,12,
Oregon,12,
Colorado,11,
Wisconsin,11,
New Hampshire,11,
Rhode Island,11,
Virginia,11,
Illinois,11,
Connecticut,10,
New Jersey,10,
Washington,10,
Massachusetts,9,
Maryland,9,
Hawaii,9,
District of Columbia,9,
California,9,
Puerto Rico,8,
Utah,6,
