Type,Details,Body Weight,Brain Weight
Pterosaur,elegans,0.063,0.148
Pterosaur,kochi,0.49,0.4
Pterosaur,Pteranodon,19,4.3
Pterosaur,Rhamphorhynchus,0.334,0.71
Pterosaur,Scaaphognathus purdoni,1.38,1.5
Dinosarus,Allosaurus,2236,175
Dinosarus,Tyrannosaurus,63000,140
Dinosarus,Stenonychosaurus,36.2,45
Dinosarus,Brachiosaurus,70000,335
Dinosarus,Diplodocus,8700,50
Dinosarus,Anatosaurus,3008,140
Dinosarus,Camptosaurus,362.4,25
Dinosarus,Iguanodon,1903.7,100
Dinosarus,Europlocephalus,1380,45
Dinosarus,Kentrosaurus,707.1,25
Dinosarus,Protoceratops,173.6,14
Dinosarus,Triceratops,5000,225
Bird,Archaeoptrtyx,0.43,1.7
Crocodilians,A,100,10
Crocodilians,B,117.5,14
Crocodilians,C,173.6,12
