id,fix_acidity,vol_acidity,citric_acid,sugar,chlorides,free_sulfur,total_sulfur,density,pH,sulphates,alcohol,quality
1,7.40,0.70,0.00,1.90,0.08,11.00,34.00,1.00,3.51,0.56,9.40,5.00
2,7.80,0.88,0.00,2.60,0.10,25.00,67.00,1.00,3.20,0.68,9.80,5.00
3,7.80,0.76,0.04,2.30,0.09,15.00,54.00,1.00,3.26,0.65,9.80,5.00
4,11.20,0.28,0.56,1.90,0.08,17.00,60.00,1.00,3.16,0.58,9.80,6.00
5,7.40,0.70,0.00,1.90,0.08,11.00,34.00,1.00,3.51,0.56,9.40,5.00
6,7.40,0.66,0.00,1.80,0.08,13.00,40.00,1.00,3.51,0.56,9.40,5.00
7,7.90,0.60,0.06,1.60,0.07,15.00,59.00,1.00,3.30,0.46,9.40,5.00
8,7.30,0.65,0.00,1.20,0.07,15.00,21.00,0.99,3.39,0.47,10.00,7.00
9,7.80,0.58,0.02,2.00,0.07,9.00,18.00,1.00,3.36,0.57,9.50,7.00
10,7.50,0.50,0.36,6.10,0.07,17.00,102.00,1.00,3.35,0.80,10.50,5.00
11,6.70,0.58,0.08,1.80,0.10,15.00,65.00,1.00,3.28,0.54,9.20,5.00
12,7.50,0.50,0.36,6.10,0.07,17.00,102.00,1.00,3.35,0.80,10.50,5.00
13,5.60,0.62,0.00,1.60,0.09,16.00,59.00,0.99,3.58,0.52,9.90,5.00
14,7.80,0.61,0.29,1.60,0.11,9.00,29.00,1.00,3.26,1.56,9.10,5.00
15,8.90,0.62,0.18,3.80,0.18,52.00,145.00,1.00,3.16,0.88,9.20,5.00
16,8.90,0.62,0.19,3.90,0.17,51.00,148.00,1.00,3.17,0.93,9.20,5.00
17,8.50,0.28,0.56,1.80,0.09,35.00,103.00,1.00,3.30,0.75,10.50,7.00
18,8.10,0.56,0.28,1.70,0.37,16.00,56.00,1.00,3.11,1.28,9.30,5.00
19,7.40,0.59,0.08,4.40,0.09,6.00,29.00,1.00,3.38,0.50,9.00,4.00
20,7.90,0.32,0.51,1.80,0.34,17.00,56.00,1.00,3.04,1.08,9.20,6.00
21,8.90,0.22,0.48,1.80,0.08,29.00,60.00,1.00,3.39,0.53,9.40,6.00
22,7.60,0.39,0.31,2.30,0.08,23.00,71.00,1.00,3.52,0.65,9.70,5.00
23,7.90,0.43,0.21,1.60,0.11,10.00,37.00,1.00,3.17,0.91,9.50,5.00
24,8.50,0.49,0.11,2.30,0.08,9.00,67.00,1.00,3.17,0.53,9.40,5.00
25,6.90,0.40,0.14,2.40,0.09,21.00,40.00,1.00,3.43,0.63,9.70,6.00
26,6.30,0.39,0.16,1.40,0.08,11.00,23.00,1.00,3.34,0.56,9.30,5.00
27,7.60,0.41,0.24,1.80,0.08,4.00,11.00,1.00,3.28,0.59,9.50,5.00
28,7.90,0.43,0.21,1.60,0.11,10.00,37.00,1.00,3.17,0.91,9.50,5.00
29,7.10,0.71,0.00,1.90,0.08,14.00,35.00,1.00,3.47,0.55,9.40,5.00
30,7.80,0.65,0.00,2.00,0.08,8.00,16.00,1.00,3.38,0.59,9.80,6.00
31,6.70,0.68,0.07,2.40,0.09,17.00,82.00,1.00,3.35,0.54,10.10,5.00
32,6.90,0.69,0.00,2.50,0.11,22.00,37.00,1.00,3.46,0.57,10.60,6.00
33,8.30,0.66,0.12,2.30,0.08,15.00,113.00,1.00,3.17,0.66,9.80,5.00
34,6.90,0.61,0.12,10.70,0.07,40.00,83.00,1.00,3.45,0.52,9.40,6.00
35,5.20,0.32,0.25,1.80,0.10,13.00,50.00,1.00,3.38,0.55,9.20,5.00
36,7.80,0.65,0.00,5.50,0.09,5.00,18.00,1.00,3.40,0.55,9.60,6.00
37,7.80,0.60,0.14,2.40,0.09,3.00,15.00,1.00,3.42,0.60,10.80,6.00
38,8.10,0.38,0.28,2.10,0.07,13.00,30.00,1.00,3.23,0.73,9.70,7.00
39,5.70,1.13,0.09,1.50,0.17,7.00,19.00,0.99,3.50,0.48,9.80,4.00
40,7.30,0.45,0.36,5.90,0.07,12.00,87.00,1.00,3.33,0.83,10.50,5.00
41,7.30,0.45,0.36,5.90,0.07,12.00,87.00,1.00,3.33,0.83,10.50,5.00
42,8.80,0.61,0.30,2.80,0.09,17.00,46.00,1.00,3.26,0.51,9.30,4.00
43,7.50,0.49,0.20,2.60,0.33,8.00,14.00,1.00,3.21,0.90,10.50,6.00
44,8.10,0.66,0.22,2.20,0.07,9.00,23.00,1.00,3.30,1.20,10.30,5.00
45,6.80,0.67,0.02,1.80,0.05,5.00,11.00,1.00,3.48,0.52,9.50,5.00
46,4.60,0.52,0.15,2.10,0.05,8.00,65.00,0.99,3.90,0.56,13.10,4.00
47,7.70,0.94,0.43,2.20,0.11,22.00,114.00,1.00,3.25,0.73,9.20,5.00
48,8.70,0.29,0.52,1.60,0.11,12.00,37.00,1.00,3.25,0.58,9.50,5.00
49,6.40,0.40,0.23,1.60,0.07,5.00,12.00,1.00,3.34,0.56,9.20,5.00
50,5.60,0.31,0.37,1.40,0.07,12.00,96.00,1.00,3.32,0.58,9.20,5.00
51,8.80,0.66,0.26,1.70,0.07,4.00,23.00,1.00,3.15,0.74,9.20,5.00
52,6.60,0.52,0.04,2.20,0.07,8.00,15.00,1.00,3.40,0.63,9.40,6.00
53,6.60,0.50,0.04,2.10,0.07,6.00,14.00,1.00,3.39,0.64,9.40,6.00
54,8.60,0.38,0.36,3.00,0.08,30.00,119.00,1.00,3.20,0.56,9.40,5.00
55,7.60,0.51,0.15,2.80,0.11,33.00,73.00,1.00,3.17,0.63,10.20,6.00
56,7.70,0.62,0.04,3.80,0.08,25.00,45.00,1.00,3.34,0.53,9.50,5.00
57,10.20,0.42,0.57,3.40,0.07,4.00,10.00,1.00,3.04,0.63,9.60,5.00
